*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=RPiLarm
*Date=17:20:07
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;34.671;-32.48;0;Bottom;Copper Fill84
2;;;32.3596;-14.7001;0;Bottom;Copper Fill29
3;;;34.671;-14.7001;0;Bottom;Copper Fill98
4;;;32.3596;-29.94;0;Bottom;Copper Fill9
5;;;17.1958;-7.77858;0;Bottom;Copper Fill107
6;;;18.0594;-22.574;0;Bottom;Copper Fill76
7;;;32.3596;-24.86;0;Bottom;Copper Fill89
8;;;8.7249;-29.7876;0;Bottom;Copper Fill66
9;;;32.385;-7.08008;0;Bottom;Copper Fill101
10;;;9.5758;-7.77858;0;Bottom;Copper Fill108
11;;;29.718;-6.21648;0;Bottom;Copper Fill39
12;;;9.5758;-19.2086;0;Bottom;Copper Fill62
13;;;32.3596;-27.4;0;Bottom;Copper Fill15
14;;;6.1341;-38.1696;0;Bottom;Copper Fill72
15;;;18.6436;-1.64448;0;Bottom;Copper Fill41
16;;;15.748;-27.654;0;Bottom;Copper Fill26
17;;;14.859;-12.4649;0;Bottom;Copper Fill31
18;;;6.1722;-28.0096;0;Bottom;Copper Fill14
19;;;8.8646;-27.3492;0;Bottom;Copper Fill12
20;220;THT;31.7218;-43.285;180;Bottom;R1
21;;;29.7942;-19.9833;0;Bottom;Copper Fill22
22;;;34.671;-19.7801;0;Bottom;Copper Fill94
23;;;32.3596;-29.94;0;Bottom;Copper Fill85
24;;;23.9649;-6.92768;0;Bottom;Copper Fill47
25;;;24.8158;-19.2086;0;Bottom;Copper Fill65
26;;;30.2768;-40.1381;0;Bottom;Copper Fill75
27;;tactile-pth;18.6662;-4.47376;90;Bottom;6
28;;buzzer-12mm-ns;9.75455;-40.9107;0;Bottom;(c)Z. Igielman & 
29;;;17.1958;-30.6385;0;Bottom;Copper Fill68
30;;;16.3449;-29.7876;0;Bottom;Copper Fill67
31;;;34.4678;-21.1389;0;Bottom;Copper Fill45
32;;;5.4102;-38.8681;0;Bottom;Copper Fill73
33;;;31.7246;-42.894;0;Bottom;Copper Fill77
34;;;4.1148;-29.3685;0;Bottom;Copper Fill122
35;;tactile-pth;26.2862;-27.3338;90;Bottom;1
36;;;24.8158;-30.6385;0;Bottom;Copper Fill121
37;;;16.3449;-20.0849;0;Bottom;Copper Fill115
38;;;1.9558;-19.2086;0;Bottom;Copper Fill113
39;;;34.4678;-21.1389;0;Bottom;Copper Fill104
40;;;34.4678;-13.519;0;Bottom;Copper Fill46
41;;;32.385;-7.08008;0;Bottom;Copper Fill38
42;;;32.3596;-12.1601;0;Bottom;Copper Fill99
43;;;5.4102;-38.8681;0;Bottom;Copper Fill124
44;;;7.95573;3.92537;90;Bottom;Raspberry Pi1
45;;tactile-pth;3.42618;-15.9038;90;Bottom;0
46;;;8.7249;-20.0849;0;Bottom;Copper Fill114
47;;;32.3596;-37.3568;0;Bottom;Copper Fill78
48;;;32.3342;-1.64448;0;Bottom;Copper Fill43
49;;;0.3048;-19.2086;0;Bottom;Copper Fill112
50;;;25.7167;-38.442;90;Bottom;TXT1
51;;;6.1341;-39.6174;0;Bottom;Copper Fill123
52;;;0.3048;-19.2086;0;Bottom;Copper Fill59
53;;tactile-pth;18.6662;-15.9038;90;Bottom;5
54;;;34.671;-24.86;0;Bottom;Copper Fill19
55;;;22.4789;-3.91506;0;Bottom;Via1
56;;;3.9624;-28.0604;0;Bottom;Copper Fill13
57;;THT;5.05178;-26.775;0;Bottom;G O V+
58;;;32.3596;-17.2401;0;Bottom;Copper Fill27
59;;;32.3596;-19.7801;0;Bottom;Copper Fill93
60;;;34.4678;-13.519;0;Bottom;Copper Fill105
61;;;6.1722;-25.5204;0;Bottom;Copper Fill17
62;;;24.8158;-19.2086;0;Bottom;Copper Fill118
63;;;26.2636;-1.64448;0;Bottom;Copper Fill42
64;;;1.905;-15.9193;0;Bottom;Copper Fill25
65;;;29.9974;-35.0454;0;Bottom;Copper Fill79
66;220;THT;20.9268;-43.285;180;Bottom;R2
67;;;32.3596;-4.74328;0;Bottom;Copper Fill102
68;;;6.8326;-38.8681;0;Bottom;Copper Fill74
69;;;32.385;-9.62008;0;Bottom;Copper Fill37
70;;;34.671;-35.02;0;Bottom;Copper Fill81
