*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PiLarm
*Date=15:32:48
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;tactile-pth;18.6662;-27.3338;90;Bottom;4
2;;;32.385;-9.62008;0;Bottom;Copper Fill100
3;;;0.3048;-19.2086;0;Bottom;Copper Fill112
4;;;32.3596;-4.74328;0;Bottom;Copper Fill102
5;;;32.3342;-1.64448;0;Bottom;Copper Fill43
6;;;20.8026;-27.4254;0;Bottom;Copper Fill11
7;;;26.289;-12.4903;0;Bottom;Copper Fill34
8;;;16.3449;-18.3577;0;Bottom;Copper Fill63
9;;;17.1958;-19.2086;0;Bottom;Copper Fill64
10;;;8.7249;-6.92768;0;Bottom;Copper Fill51
11;;;17.1958;-19.2086;0;Bottom;Copper Fill116
12;;;32.3596;-17.2401;0;Bottom;Copper Fill95
13;;THT;5.05178;-26.775;0;Bottom;G O V+
14;;;34.671;-17.2401;0;Bottom;Copper Fill96
15;;;32.3596;-37.3568;0;Bottom;Copper Fill78
16;;;29.9974;-32.4546;0;Bottom;Copper Fill82
17;;;15.748;-27.654;0;Bottom;Copper Fill26
18;220;THT;20.9268;-43.285;180;Bottom;R2
19;;;24.8158;-7.77858;0;Bottom;Copper Fill48
20;;;1.1049;-8.65488;0;Bottom;Copper Fill109
21;220;THT;31.7218;-43.285;180;Bottom;R1
22;;;31.7246;-42.894;0;Bottom;Copper Fill77
23;;;17.1958;-7.77858;0;Bottom;Copper Fill50
24;;;22.4789;-3.91506;0;Bottom;Via1
25;;;6.1341;-39.6174;0;Bottom;Copper Fill71
26;;3 mm [THT];32.9358;-40.1101;-90;Bottom;J. Blumenow
27;;;1.1049;-20.0849;0;Bottom;Copper Fill57
28;;;0.3048;-7.77858;0;Bottom;Copper Fill110
29;;;1.905;-15.9193;0;Bottom;Copper Fill25
30;;;32.3596;-24.86;0;Bottom;Copper Fill18
31;;;8.7249;-20.0849;0;Bottom;Copper Fill60
32;;;29.7688;-29.7368;0;Bottom;Copper Fill10
33;;;16.0274;-31.6164;0;Bottom;Copper Fill4
34;;;32.385;-7.08008;0;Bottom;Copper Fill101
35;;;6.8326;-38.8681;0;Bottom;Copper Fill125
36;;;32.3596;-19.7801;0;Bottom;Copper Fill93
37;;;29.8704;-11.9569;0;Bottom;Copper Fill36
38;;;5.4102;-38.8681;0;Bottom;Copper Fill73
39;;;26.2636;-30.575;0;Bottom;Copper Fill7
40;;;32.3596;-29.94;0;Bottom;Copper Fill85
41;;;32.3596;-19.7801;0;Bottom;Copper Fill23
42;;;34.671;-29.94;0;Bottom;Copper Fill86
43;;;32.3596;-14.7001;0;Bottom;Copper Fill29
44;;;9.5758;-7.77858;0;Bottom;Copper Fill108
45;;;0.3048;-7.77858;0;Bottom;Copper Fill55
46;;;6.1341;-38.1696;0;Bottom;Copper Fill72
47;;;34.4678;-21.1389;0;Bottom;Copper Fill104
48;;;9.5758;-30.6385;0;Bottom;Copper Fill119
49;;;34.671;-22.32;0;Bottom;Copper Fill21
50;;;4.1148;-29.3685;0;Bottom;Copper Fill122
51;;;22.479;-12.4903;0;Bottom;Copper Fill33
52;;;3.9624;-28.0604;0;Bottom;Copper Fill13
53;;buzzer-12mm-ns;9.75455;-40.9107;0;Bottom;(c)Z. Igielman & 
54;;;32.3596;-14.7001;0;Bottom;Copper Fill97
